dba_name,license_id,address,city,state,zip
THE PRIORY BAR AND KITCHEN,2463252,5130 N WESTERN AVE,CHICAGO,IL,60625
KENTUCKY FRIED CHICKEN #5288,2523421,10200 S HALSTED ST,CHICAGO,IL,60628
THE GREAT AMERICAN BAGEL,1879167,11601 W TOUHY AVE,CHICAGO,IL,60666
SAN SOO GAB SAN CORP,23269,5247-5251 N WESTERN AVE,CHICAGO,IL,60625
SUBWAY,2125190,4303 W IRVING PARK RD,CHICAGO,IL,60641
#1 CHOP SUEY,1970042,4307 W IRVING PARK RD,CHICAGO,IL,60641
BOULEVARD SPORTS LOUNGE,2443101,2645 W NORTH AVE,CHICAGO,IL,60647
MANCHU WOK,1909520,11601 W TOUHY AVE,CHICAGO,IL,60666
CAFE L'APPETITO,2373553,3332 N BROADWAY,CHICAGO,IL,60657
INFUSE HOSPITALITY,2631726,350 N ORLEANS ST,CHICAGO,IL,60654
JUST SALADS ILLINOIS CENTER LLC,2671823,111 E WACKER DR,CHICAGO,IL,60601
THE VEGGIE GRILL,2563666,614 W DIVERSEY PKWY,CHICAGO,IL,60614
LA MICHOACANA Y MAS INC.,2609256,6950 W ARCHER AVE,CHICAGO,IL,60638
JAFFA BAGELS,2278918,225 N MICHIGAN AVE,CHICAGO,IL,60601
RINCONCITO ECUATORIANO,2495923,3041 W IRVING PARK RD,CHICAGO,IL,60618
SHOKRAN,1884050,4027 W IRVING PARK RD,CHICAGO,IL,60641
LITTLE VIETNAM RESTAURANT,2594572,1132 W BRYN MAWR AVE,CHICAGO,IL,60660
TCBY/JUICE WORKS,1909538,11601 W TOUHY AVE,CHICAGO,IL,60666
MILANO'S PIZZA,24438,10945 S WESTERN AVE,CHICAGO,IL,60643
SUBWAY,15059,1313 W TOUHY AVE,CHICAGO,IL,60626
KAZIMIERZANKA,68171,4785 S ARCHER AVE,CHICAGO,IL,60632
AMERICANOS,2560505,11060 S WESTERN AVE,CHICAGO,IL,60643
WINDY CITY HOT DOGS INC,1245171,4205 W 63RD ST,CHICAGO,IL,60629
LOS MANGOS NEVERIA Y FRUTERIA #3,2184104,5758 S PULASKI RD,CHICAGO,IL,60629
EL BASURERO RESTAURANT INC.,2636636,4781 S ARCHER AVE,CHICAGO,IL,60632
SUBWAY 47512,2617422,1014 S WESTERN AVE,CHICAGO,IL,60612
ANTOJITOS PUEBLITA INC,2622688,3737 W LAWRENCE AVE UNIT E,CHICAGO,IL,60625
THE WARBLER CHICAGO,2549461,4533-4535 N LINCOLN AVE,CHICAGO,IL,60625
THE BOOKCELLAR,1443216,4736-4738 N LINCOLN AVE,CHICAGO,IL,60625
Subway,2146827,5959 W DIVERSEY AVE,CHICAGO,IL,60639
CUCINA 3 INC,2642344,4630 N CUMBERLAND AVE,CHICAGO,IL,60656
DOMINOS,2549020,5410 W DEVON AVE,CHICAGO,IL,60646
OLD TOWN SCHOOL OF FOLK MUSIC,30958,4544 N LINCOLN AVE,CHICAGO,IL,60625
WENDY'S PROPERTIES LLC,2405948,3610 N WESTERN AVE,CHICAGO,IL,60618
STARBUCKS COFFEE #13439,1800742,4830 N PULASKI RD,CHICAGO,IL,60630
PONCE PLACE,1947441,3612 W NORTH AVE,CHICAGO,IL,60647
